"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"143.04","44.0","143","98.6","98.94","75.2","30.2"
"144","44.0","142","98.6","98.95","55.2","30.2"
"144.96","44.0","141","98.6","98.95","40.0","30.2"
"145.92","44.0","141","98.6","98.96","62.1","30.2"
"146.88","44.0","141","98.6","98.93","49.9","30.2"
"147.84","44.0","140","98.6","98.92","42.0","30.2"
"148.8","44.0","140","98.6","98.96","40.0","30.1"
"149.76","44.0","140","98.6","98.94","40.0","30.1"
"150.72","44.0","140","98.6","98.94","40.0","30.1"
"151.68","44.0","140","98.6","98.95","54.2","30.1"
"152.64","44.0","139","98.6","98.95","77.3","30.1"
"153.6","44.0","139","98.6","98.94","57.4","30.1"
"154.56","44.0","139","98.6","98.94","43.2","30.1"
"155.52","44.0","139","98.6","98.93","40.0","30.1"
"156.48","44.0","139","98.6","98.94","66.2","30.1"
"157.44","44.0","139","98.6","98.96","40.0","30.1"
"158.4","44.0","139","98.6","98.95","70.7","30.1"
"159.36","44.0","139","98.6","98.96","73.2","30.1"
"160.32","44.0","140","98.6","98.94","72.5","30.1"
"161.28","44.0","141","98.6","98.96","70.4","30.1"
"162.24","44.0","142","98.6","98.98","65.4","30.1"
"163.2","44.0","143","98.6","98.95","57.7","30.1"
"164.16","44.0","144","98.6","98.95","72.3","30.0"
"165.12","44.0","143","98.6","98.95","67.5","30.0"
"166.08","44.0","143","98.6","98.98","74.7","30.0"
"167.04","44.0","143","98.8","98.96","47.1","30.0"
"168","44.0","143","98.8","98.98","65.9","30.0"
"168.96","44.0","143","98.8","98.97","53.3","30.0"
"169.92","44.0","141","98.6","98.93","68.5","30.0"
"170.88","43.9","137","98.8","98.92","63.3","30.0"
"171.84","43.9","142","98.6","98.93","40.0","30.0"
"172.8","43.9","143","98.6","98.92","67.0","30.0"
"173.76","43.9","142","98.6","98.98","45.1","30.0"
"174.72","43.9","142","98.4","98.96","53.7","30.0"
"175.68","43.9","142","98.4","98.96","45.2","30.0"
"176.64","43.9","143","98.2","98.91","40.0","30.0"
"177.6","43.9","143","98.4","98.95","41.8","30.0"
"178.56","43.9","143","98.4","98.95","50.6","30.0"
"179.52","43.9","143","98.4","98.97","70.0","30.0"
"180.48","43.9","142","98.4","98.95","84.4","30.0"
"181.44","43.9","141","98.4","98.96","59.5","30.0"
"182.4","43.9","142","98.4","98.95","55.7","30.0"
"183.36","43.9","174","98.4","98.94","61.8","30.0"
"184.32","43.9","161","98.4","98.92","68.6","30.0"
"185.28","43.9","157","98.4","98.95","62.9","30.0"
"186.24","43.9","134","98.4","98.93","68.0","30.0"
"187.2","44.0","126","98.4","98.94","70.2","30.0"
"188.16","44.0","128","98.4","98.98","95.3","30.0"
"189.12","45.7","142","98.4","98.96","50.8","29.9"
"190.08","47.3","159","98.6","98.96","49.5","29.9"
"191.04","47.9","159","98.4","98.95","48.0","29.9"
"192","48.2","156","98.6","98.95","40.0","29.9"
"192.96","48.6","152","98.6","98.95","60.6","29.9"
"193.92","49.5","149","98.6","98.92","73.8","29.9"
"194.88","50.3","149","98.6","98.95","67.3","29.9"
"195.84","51.1","149","98.6","98.96","56.5","29.9"
"196.8","51.8","150","98.6","98.94","75.6","29.9"
"197.76","52.5","156","98.6","98.96","70.7","29.9"
"198.72","53.2","173","98.6","98.94","43.7","29.9"
"199.68","53.6","207","98.6","98.95","40.0","29.9"
"200.64","53.9","211","98.6","98.95","78.2","29.9"
"201.6","54.1","213","98.6","98.94","45.5","29.9"
"202.56","54.1","213","98.6","98.93","64.8","29.9"
"203.52","54.1","210","98.6","98.97","51.9","29.9"
"204.48","53.9","197","98.6","98.95","40.0","29.9"
"205.44","53.7","184","98.6","98.96","64.3","29.8"
"206.4","53.3","196","98.6","98.97","84.0","29.8"
"207.36","53.2","149","98.6","98.95","45.1","29.8"
"208.32","53.3","142","98.6","98.93","70.6","29.8"
"209.28","53.2","141","98.6","98.92","51.2","29.8"
"210.24","53.1","142","98.6","98.97","71.5","29.8"
"211.2","53.0","142","98.6","98.94","71.8","29.8"
"212.16","52.9","141","98.6","98.93","40.0","29.8"
"213.12","52.9","139","98.6","98.96","75.4","29.8"
"214.08","52.9","140","98.6","98.95","63.3","29.8"
"215.04","52.9","140","98.6","98.95","58.8","29.8"
"216","53.0","140","98.6","98.96","40.0","29.8"
"216.96","53.1","140","98.6","98.93","45.0","29.8"
"217.92","53.1","140","98.6","98.91","47.7","29.7"
"218.88","53.2","140","98.6","98.94","40.0","29.7"
"219.84","53.3","140","98.8","98.94","59.8","29.7"
"220.8","53.4","139","98.8","98.94","61.3","29.7"
"221.76","53.4","139","98.8","98.95","47.9","29.7"
"222.72","53.5","138","98.8","98.95","61.7","29.7"
"223.68","53.6","137","98.8","98.94","40.0","29.7"
"224.64","53.7","137","98.8","98.95","40.0","29.7"
"225.6","53.7","137","98.8","98.95","83.0","29.7"
"226.56","53.8","136","98.8","98.95","67.1","29.7"
"227.52","53.8","136","98.8","98.97","58.5","29.7"
"228.48","53.8","135","98.8","98.95","54.8","29.7"
"229.44","53.9","135","98.8","98.96","61.1","29.7"
"230.4","53.9","135","98.8","98.96","76.3","29.7"
"231.36","53.9","135","98.8","98.94","72.2","29.7"
"232.32","54.0","135","98.8","98.95","65.9","29.7"
"233.28","54.0","135","98.8","98.96","67.0","29.7"
"234.24","54.0","135","98.8","98.93","40.0","29.7"
"235.2","54.0","135","98.8","98.94","71.6","29.7"
"236.16","54.0","134","99.0","98.96","75.1","29.7"
"237.12","54.0","134","99.0","98.96","61.4","29.7"
"238.08","54.0","133","99.0","98.95","73.1","29.7"
"239.04","54.0","133","99.0","98.93","50.6","29.7"
"240","54.0","133","99.0","98.95","72.0","29.7"
"240.96","54.0","133","99.0","98.93","40.0","29.6"
"241.92","54.0","132","99.0","98.95","68.0","29.6"
"242.88","54.0","132","99.0","98.92","40.0","29.6"
"243.84","54.0","133","99.0","98.98","73.9","29.6"
"244.8","53.9","133","99.0","98.94","63.4","29.6"
"245.76","53.9","134","99.2","98.94","76.7","29.6"
"246.72","53.9","134","99.0","98.95","43.5","29.6"
"247.68","53.8","133","99.0","98.97","68.6","29.6"
"248.64","53.8","133","99.0","98.93","84.2","29.6"
"249.6","53.8","133","99.0","98.94","73.1","29.6"
"250.56","53.7","132","99.2","98.93","58.5","29.6"
"251.52","53.7","131","99.2","98.93","40.0","29.6"
"252.48","53.7","131","99.2","98.95","40.0","29.7"
"253.44","53.6","131","99.2","98.95","58.8","29.8"
"254.4","53.6","130","99.2","98.95","57.5","29.8"
"255.36","53.6","129","99.2","98.97","40.0","29.9"
"256.32","53.6","129","99.2","98.94","53.7","29.9"
"257.28","53.5","129","99.2","98.95","62.6","30.0"
"258.24","53.5","129","99.2","98.93","74.3","30.1"
"259.2","53.5","128","99.2","98.96","64.6","30.4"
"260.16","53.4","128","99.2","98.94","62.0","30.7"
"261.12","53.4","129","99.2","98.96","40.0","30.9"
"262.08","53.4","127","99.2","98.93","55.0","31.1"
"263.04","53.3","125","99.2","98.98","69.5","31.3"
"264","53.3","124","99.2","98.95","61.6","31.5"
"264.96","53.3","127","99.2","98.95","55.7","31.7"
"265.92","53.3","127","99.2","98.93","50.5","31.8"
"266.88","53.2","127","99.2","98.98","40.0","32.0"
"267.84","53.2","128","99.2","98.97","76.7","32.1"
"268.8","53.1","128","99.2","98.94","72.8","32.2"
"269.76","53.1","127","99.2","98.94","65.9","32.3"
"270.72","53.1","127","99.2","98.97","73.6","32.4"
"271.68","53.0","127","99.2","98.95","43.8","32.5"
"272.64","53.0","128","99.2","98.93","52.1","32.6"
"273.6","53.0","128","99.2","98.92","48.2","32.6"
"274.56","52.9","128","99.2","98.99","77.5","32.7"
"275.52","52.9","129","99.2","98.91","56.2","32.7"
"276.48","52.9","129","99.2","98.95","63.3","32.8"
"277.44","52.8","127","99.2","98.95","66.5","32.8"
"278.4","52.8","119","99.2","98.95","71.1","32.8"
"279.36","52.8","98","99.2","98.95","77.6","32.7"
"280.32","52.7","99","99.2","98.96","86.4","32.5"
"281.28","52.7","103","99.2","98.94","77.2","32.4"
"282.24","52.7","95","99.2","98.96","76.9","32.3"
"283.2","52.7","96","99.2","98.94","75.6","32.2"
"284.16","52.7","95","99.2","98.95","76.2","32.0"
"285.12","52.6","100","99.2","98.95","81.6","31.9"
"286.08","52.6","113","99.2","98.94","74.5","31.8"
"287.04","52.5","135","99.2","98.94","75.0","31.7"
"288","52.5","133","99.3","98.96","74.2","31.6"
"288.96","52.4","118","99.2","98.96","72.8","31.5"
"289.92","52.3","106","99.3","98.94","80.5","31.4"
"290.88","52.3","64","99.2","98.96","70.0","31.3"
"291.84","52.2","48","99.2","98.96","77.5","31.3"
"292.8","52.2","52","99.2","98.96","76.7","31.2"
"293.76","52.1","42","99.2","98.95","78.1","31.1"
"294.72","52.1","35","99.2","98.97","75.6","31.1"
"295.68","52.0","33","99.2","98.95","77.1","31.0"
"296.64","52.0","45","99.2","98.93","75.1","30.9"
"297.6","51.9","86","99.2","98.93","70.6","30.9"
"298.56","51.8","97","99.2","98.96","84.2","30.9"
"299.52","51.8","96","99.2","98.94","90.7","30.8"
"300.48","51.7","116","99.2","98.94","91.4","30.8"
"301.44","51.6","118","99.2","98.94","92.6","30.7"
"302.4","51.5","121","99.2","98.94","88.2","30.7"
"303.36","51.4","123","99.2","98.94","91.4","30.7"
"304.32","51.3","130","99.2","98.96","87.0","30.6"
"305.28","51.2","123","99.2","98.95","91.5","30.6"
"306.24","51.0","119","99.2","98.94","89.7","30.5"
"307.2","50.9","115","99.2","98.94","84.5","30.5"
"308.16","50.8","117","99.2","98.93","90.7","30.5"
"309.12","50.7","118","99.2","98.94","87.7","30.4"
"310.08","50.5","119","97.8","98.95","87.4","30.4"
"311.04","50.4","124","97.8","98.97","90.1","30.4"
"312","50.3","117","97.8","98.94","95.7","30.3"
"312.96","50.2","123","97.8","98.94","83.4","30.3"
"313.92","50.2","135","97.8","98.97","87.1","30.2"
"314.88","50.1","150","97.8","98.94","89.3","30.2"
"315.84","50.0","148","97.8","98.92","88.7","30.2"
"316.8","49.9","125","97.8","98.96","82.4","30.2"
"317.76","49.8","124","97.8","98.98","85.2","30.2"
"318.72","49.8","121","97.8","98.91","87.6","30.2"
"319.68","49.7","124","97.8","98.98","89.1","30.1"
"320.64","49.6","129","97.8","98.94","90.0","30.1"
"321.6","49.6","135","98.0","98.94","90.7","30.1"
"322.56","49.5","146","98.0","98.95","93.1","30.1"
"323.52","49.5","136","98.0","98.95","92.4","30.1"
"324.48","49.4","154","98.0","98.95","83.7","30.1"
"325.44","49.4","141","98.0","98.96","83.5","30.1"
"326.4","49.3","126","98.0","98.93","81.2","30.1"
"327.36","49.3","175","98.0","98.93","40.0","30.1"
"328.32","49.2","255","97.8","98.92","40.0","30.1"
"329.28","49.2","266","97.8","98.96","40.0","30.0"
"330.24","49.2","267","97.8","98.96","40.0","30.0"
"331.2","49.1","263","97.8","98.95","40.0","30.0"
"332.16","49.1","263","97.8","98.93","40.0","30.0"
"333.12","49.1","263","97.8","98.97","40.0","30.0"
"334.08","49.1","262","97.8","98.93","77.8","30.0"
"335.04","49.0","262","97.8","98.95","74.2","30.0"
"336","49.0","261","97.8","98.93","60.3","30.0"
"336.96","49.0","258","97.8","98.95","40.0","30.0"
"337.92","49.0","256","97.8","98.95","68.3","30.0"
"338.88","49.0","255","97.8","98.95","56.6","30.0"
"339.84","48.9","258","97.8","98.92","49.3","30.0"
"340.8","48.9","255","97.8","98.94","67.1","30.0"
"341.76","48.9","250","97.8","98.96","62.1","30.0"
"342.72","48.9","247","97.8","98.97","40.0","30.0"
"343.68","48.9","244","97.8","98.95","76.6","30.0"
"344.64","48.9","244","97.8","98.93","70.2","29.9"
"345.6","48.8","244","97.8","98.94","40.0","29.9"
"346.56","48.8","247","97.8","98.93","71.8","29.9"
"347.52","48.8","249","97.8","98.94","75.8","29.9"
"348.48","48.8","239","97.8","98.97","78.9","29.9"
"349.44","48.8","244","97.8","98.94","102.0","29.9"
"350.4","48.8","241","97.8","98.96","60.8","29.9"
"351.36","48.8","244","97.8","98.95","71.8","29.9"
"352.32","48.7","247","97.8","98.96","81.3","29.9"
"353.28","48.7","240","97.8","98.92","66.5","29.9"
"354.24","48.7","228","97.8","98.95","69.9","29.8"
"355.2","48.7","208","97.8","98.91","47.1","29.8"
"356.16","48.7","211","97.8","98.94","60.2","29.8"
"357.12","48.7","210","97.8","98.95","72.6","29.8"
"358.08","48.7","210","97.8","98.95","77.9","29.8"
"359.04","48.7","214","97.8","98.92","77.5","29.8"
"360","48.7","210","97.8","98.94","66.5","29.8"
"360.96","48.7","212","97.8","98.95","87.2","29.8"
"361.92","48.6","212","97.8","98.96","80.8","29.8"
"362.88","48.6","216","97.8","98.94","76.9","29.8"
"363.84","48.6","217","97.8","98.95","77.2","29.8"
"364.8","48.6","216","97.8","98.96","80.0","29.8"
"365.76","48.5","215","97.8","98.95","75.1","29.8"
"366.72","48.5","214","97.8","98.94","66.6","29.8"
"367.68","48.5","213","97.8","98.91","61.6","29.8"
"368.64","48.5","214","97.8","98.94","40.1","29.8"
"369.6","48.4","214","97.8","98.95","77.1","30.1"
"370.56","48.4","213","97.8","98.94","72.6","30.3"
"371.52","48.4","212","97.8","98.94","78.2","30.6"
"372.48","48.4","207","97.8","98.95","48.2","30.9"
"373.44","48.4","210","97.8","98.97","40.0","31.2"
"374.4","48.3","212","97.8","98.94","40.0","31.5"
"375.36","48.3","213","97.8","98.94","40.0","31.7"
"376.32","48.3","212","97.8","98.95","42.9","31.9"
"377.28","48.3","211","97.8","98.96","40.0","32.1"
"378.24","48.3","211","97.8","98.95","72.7","32.3"
"379.2","48.3","212","97.8","98.94","57.2","32.4"
"380.16","48.2","212","97.8","98.99","65.4","32.6"
"381.12","48.2","210","97.8","98.96","67.1","32.7"
"382.08","48.2","205","97.8","98.96","71.2","32.8"
"383.04","48.2","196","97.8","98.96","70.3","32.9"
"384","48.2","206","98.2","98.99","67.8","33.0"
"384.96","48.1","209","98.4","98.96","62.5","33.1"
"385.92","48.1","207","98.4","98.94","47.9","33.1"
"386.88","48.1","207","98.4","98.96","65.3","33.2"
"387.84","48.1","206","98.2","98.92","40.0","33.3"
"388.8","48.1","206","98.4","98.94","40.0","33.3"
"389.76","48.1","206","98.4","98.96","59.4","33.4"
"390.72","48.0","206","98.4","98.94","75.5","33.4"
"391.68","48.0","204","98.4","98.92","71.5","33.5"
"392.64","48.0","205","98.6","98.93","82.8","33.5"
"393.6","48.0","204","98.6","98.96","83.1","33.5"
"394.56","48.0","208","98.6","98.95","84.2","33.6"
"395.52","48.0","209","98.6","98.94","74.2","33.6"
"396.48","47.9","210","98.6","98.98","87.8","33.6"
"397.44","47.9","204","98.6","98.94","88.6","33.6"
"398.4","47.9","201","98.6","98.94","67.6","33.6"
"399.36","47.9","209","98.6","98.96","79.6","33.7"
"400.32","47.9","209","98.6","98.95","83.1","33.7"
"401.28","47.9","206","98.6","98.94","70.8","33.7"
"402.24","47.8","207","98.6","98.97","42.0","33.7"
"403.2","47.8","207","98.6","98.94","73.9","33.7"
"404.16","47.8","207","98.6","98.95","71.5","33.7"
"405.12","47.8","208","98.6","98.94","76.3","33.7"
"406.08","47.8","206","98.6","98.93","43.7","33.8"
"407.04","47.8","206","98.6","98.91","40.0","33.8"
"408","47.8","206","98.6","98.95","77.3","33.8"
"408.96","47.7","205","98.6","98.94","77.7","33.8"
"409.92","47.7","198","98.6","98.95","75.8","33.8"
"410.88","47.7","205","98.6","98.95","73.3","33.8"
"411.84","47.7","206","98.6","98.95","77.3","33.8"
"412.8","47.7","204","98.6","98.96","79.8","33.8"
"413.76","47.6","206","98.6","98.91","66.6","33.8"
"414.72","47.6","207","98.8","98.95","84.1","33.8"
"415.68","47.6","208","98.6","98.96","73.1","33.8"
"416.64","47.6","208","98.8","98.95","72.8","33.8"
"417.6","47.5","204","98.8","98.91","40.0","33.8"
"418.56","47.5","209","98.8","98.94","81.3","33.8"
"419.52","47.5","211","98.8","98.94","59.5","33.8"
"420.48","47.5","210","98.8","98.97","70.5","33.8"
"421.44","47.5","210","98.8","98.95","82.5","33.8"
"422.4","47.4","212","98.8","98.94","40.0","33.8"
"423.36","47.4","212","98.8","98.93","48.9","33.9"
"424.32","47.4","213","98.8","98.91","77.5","33.9"
"425.28","47.4","212","98.8","98.96","69.6","33.9"
"426.24","47.4","212","98.8","98.96","69.4","33.9"
"427.2","47.4","212","98.8","98.96","71.6","33.9"
"428.16","47.4","213","98.8","98.99","61.4","33.9"
"429.12","47.4","215","98.8","98.92","70.3","33.9"
"430.08","47.4","213","98.8","98.94","46.1","33.9"
"431.04","47.3","208","98.8","98.98","82.7","33.9"
"432","47.3","211","98.8","98.93","68.2","33.9"
"432.96","47.3","212","98.8","98.97","76.7","33.9"
"433.92","47.3","213","98.8","98.98","40.0","33.9"
"434.88","47.3","213","98.8","98.97","70.8","33.9"
"435.84","47.3","214","98.8","98.96","40.0","33.9"
"436.8","47.2","214","98.8","98.92","40.0","33.9"
"437.76","47.2","210","98.8","98.95","66.3","33.9"
"438.72","47.2","208","98.8","98.97","63.3","33.9"
"439.68","47.2","217","98.8","98.93","72.6","33.9"
"440.64","47.2","219","98.8","98.92","70.1","33.9"
"441.6","47.2","219","98.8","98.95","43.6","33.9"
"442.56","47.2","216","98.8","98.96","40.0","33.9"
"443.52","47.1","214","98.8","98.93","51.3","33.9"
"444.48","47.1","215","98.8","98.97","40.0","33.9"
"445.44","47.1","216","98.8","98.93","69.8","33.9"
"446.4","47.1","217","98.8","98.94","40.6","33.9"
"447.36","47.1","219","98.8","98.94","66.5","33.9"
"448.32","47.1","221","99.0","98.93","66.5","33.9"
"449.28","47.0","221","99.0","98.92","51.1","33.9"
"450.24","47.0","222","98.8","98.96","52.1","33.9"
"451.2","47.0","219","99.0","98.96","62.5","33.9"
"452.16","47.0","219","98.8","98.93","74.6","33.9"
"453.12","47.0","223","99.0","98.96","74.1","33.9"
"454.08","47.0","224","98.8","98.97","55.5","33.9"
"455.04","47.0","224","99.0","98.94","58.5","33.9"
"456","46.9","225","99.0","98.97","55.6","33.9"
"456.96","46.9","226","99.0","98.96","66.2","33.9"
"457.92","46.9","227","99.0","98.94","54.8","33.9"
"458.88","46.9","228","99.0","98.94","67.6","33.9"
"459.84","46.9","229","99.0","98.94","71.5","33.9"
"460.8","46.9","229","99.0","98.96","65.1","33.9"
"461.76","46.8","230","99.0","98.95","75.7","33.9"
"462.72","46.8","229","99.0","98.93","40.0","33.9"
"463.68","46.8","229","99.0","98.95","54.2","33.7"
"464.64","46.8","230","99.0","98.97","77.0","33.4"
"465.6","46.8","229","99.0","98.95","40.0","33.1"
"466.56","46.8","226","99.0","98.95","64.4","32.7"
"467.52","46.8","224","99.0","98.98","58.6","32.4"
"468.48","46.8","224","99.0","98.97","72.1","32.0"
"469.44","46.7","225","99.0","98.94","40.0","31.6"
"470.4","46.7","224","99.0","98.96","69.2","31.3"
"471.36","46.7","223","99.0","98.93","40.0","30.9"
"472.32","46.7","222","99.0","98.96","51.1","30.6"
"473.28","46.7","222","99.0","98.98","40.5","30.3"
"474.24","46.7","222","99.0","98.95","74.3","30.0"
"475.2","46.7","221","99.0","98.95","69.4","29.7"
"476.16","46.7","218","99.0","98.91","73.0","29.4"
"477.12","46.6","220","99.0","98.92","78.0","29.2"
"478.08","46.6","225","99.5","98.95","77.5","28.9"
"479.04","46.6","224","99.5","98.95","43.6","28.7"
